ev_id,Aircraft_Key,crew_no,crew_category,crew_age,crew_sex,crew_city,crew_res_state,crew_res_country,med_certf,med_crtf_vldty,date_lst_med,crew_rat_endorse,crew_inj_level,seatbelts_used,shldr_harn_used,crew_tox_perf,seat_occ_pic,pc_profession,bfr,bfr_date,ft_as_of,lchg_date,lchg_userid,seat_occ_row,infl_rest_inst,infl_rest_depl,child_restraint,med_crtf_limit,mr_faa_med_certf,pilot_flying,available_restraint,restraint_used
20080130X00124,2,2,PLT,24,M,Costa Mesa,CA,USA,CL1,WWL,3/1/06,,FATL,,,Y,RGT,No,,10/1/07,11/20/07,9/25/20,,,,,,,,FALSE,,
20080131X00125,1,1,PLT,52,M,Orlando,FL,USA,CL1,WWL,12/1/07,,NONE,,,N,LEFT,Yes,,11/1/07,,9/25/20,,,,,,,,FALSE,,
20080201X00130,1,1,PLT,29,M,Torrance,CA,USA,CL1,WOWL,11/1/07,,FATL,,,Y,LEFT,No,,1/17/08,,9/25/20,,,,,,,,FALSE,,
20080204X00131,1,1,PLT,22,M,Chaffee,NY,USA,CL2,WOWL,11/1/06,,NONE,,,N,,Yes,,,,9/25/20,,,,,,,,FALSE,,
20080204X00132,1,1,PLT,,,,,,,,,,,,,N,,,,,,9/25/20,,,,,,,,FALSE,,
20080205X00136,1,1,PLT,52,M,Hutto,TX,USA,CL3,WWL,4/2/07,,NONE,,,N,LEFT,No,,7/9/07,1/28/08,9/25/20,,,,,,,,FALSE,,
20080206X00142,1,1,FLTI,72,M,Maysville,OK,USA,CL2,,1/30/07,,FATL,,,Y,UNK,Yes,,,,9/25/20,,,,,,,,FALSE,,
20080206X00142,1,2,PLT,53,,Lindsay,OK,USA,CL3,,1/17/08,,FATL,,,Y,UNK,No,,,,9/25/20,,,,,,,,FALSE,,
20080207X00148,1,1,PLT,58,M,Graham,NC,USA,CL1,WWL,11/15/07,,SERS,,,N,LEFT,Yes,,9/11/07,3/5/08,9/25/20,,,,,,,,FALSE,,
20080207X00150,1,1,PLT,64,M,Greensboro,NC,USA,CL3,WWL,3/1/06,,FATL,,,Y,FRT,No,,,3/1/06,9/25/20,,,,,,,,FALSE,,
20080207X00153,1,1,PLT,68,M,San Dimas,CA,USA,CL3,,11/1/07,,,,,N,,,,,,9/25/20,,,,,,,,FALSE,,
20080208X00159,1,1,FLTI,60,M,Green Valley,AZ,USA,SPRT,NONE,,,FATL,,,Y,UNK,UNK,,11/7/07,1/11/08,9/25/20,,,,,,,,FALSE,,
20080208X00159,1,2,DSTU,57,M,Green Valley,AZ,USA,NONE,NONE,,,FATL,,,Y,UNK,UNK,,,,9/25/20,,,,,,,,FALSE,,
20080210X00160,1,1,PLT,21,M,Atmore,AL,USA,NONE,,,,FATL,,,N,UNK,No,,,,9/25/20,,,,,,,,FALSE,,
20080210X00161,1,1,PLT,37,M,Charlotte,NC,USA,CL3,WWL,2/1/05,,MINR,,,N,LEFT,No,,1/1/07,,9/25/20,,,,,,,,FALSE,,
20080210X00162,1,1,DSTU,39,M,Pembroke Pines,FL,USA,CL2,,3/15/07,,SERS,,,N,RGT,No,,,1/8/08,9/25/20,,,,,,,,FALSE,,
20080210X00166,1,1,PLT,81,M,Elizabethton,TN,USA,CL3,WWL,5/1/07,,NONE,,,N,LEFT,Yes,,8/1/07,,9/25/20,,,,,,,,FALSE,,
20080211X00167,1,1,PLT,51,M,Woodinville,WA,USA,CL2,WWL,8/1/07,,SERS,,,N,LEFT,No,,,,9/25/20,,,,,,,,FALSE,,
20080211X00168,1,1,PLT,76,M,Parowan,UT,USA,CL3,WWL,1/1/08,,NONE,,,N,LEFT,No,,4/1/07,,9/25/20,,,,,,,,FALSE,,
20080211X00169,1,1,PLT,50,M,Dallas,GA,USA,CL2,WWL,8/6/07,,FATL,,,Y,LEFT,No,,11/17/06,8/6/07,9/25/20,,,,,,,,FALSE,,
20080211X00169,1,2,,46,M,Dallas,GA,USA,CL2,WOWL,11/9/06,,FATL,,,Y,RGT,No,,12/11/01,12/16/01,9/25/20,,,,,,,,FALSE,,
20080211X00171,1,1,PLT,45,M,Taft,CA,USA,CL3,WOWL,8/17/06,,FATL,,,Y,FRT,No,,,2/2/08,9/25/20,,,,,,,,FALSE,,
20080211X00172,1,1,PLT,45,F,Zephyr Cove,NV,USA,CL2,WOWL,12/6/04,,FATL,,,Y,LEFT,No,,12/13/05,12/13/07,9/25/20,,,,,,,,FALSE,,
20080211X00173,1,1,PLT,61,M,Aguanga,CA,USA,CL3,,7/1/06,,NONE,,,N,LEFT,No,,11/1/06,,9/25/20,,,,,,,,FALSE,,
20080211X00174,1,1,PLT,37,F,Palo Alto,CA,USA,CL1,WOWL,7/1/05,,NONE,,,N,LEFT,No,,6/3/07,2/8/08,9/25/20,,,,,,,,FALSE,,
20080212X00177,1,1,PLT,32,M,Stayton,OR,USA,CL2,WOWL,5/1/07,,FATL,,,Y,RGT,No,,,,9/25/20,,,,,,,,FALSE,,
20080212X00177,1,2,PLT,49,M,Sublimity,OR,USA,CL3,WOWL,5/1/06,,FATL,,,Y,LEFT,No,,9/1/06,,9/25/20,,,,,,,,FALSE,,
20080212X00178,1,1,PLT,46,M,Tequesta,FL,USA,CL1,UNK,10/1/07,,MINR,,,N,LEFT,Yes,,11/1/07,,9/25/20,,,,,,,,FALSE,,
20080212X00178,1,2,CPLT,41,M,Jupiter,FL,USA,CL1,UNK,8/1/07,,MINR,,,N,RGT,Yes,,10/1/07,,9/25/20,,,,,,,,FALSE,,
20080213X00179,1,1,PLT,30,M,Boulder,CO,USA,CL3,WOWL,12/1/05,,NONE,,,N,LEFT,No,,1/1/08,,9/25/20,,,,,,,,FALSE,,
20080213X00180,1,1,PLT,53,M,Mr. Aukum,CA,USA,CL3,WWL,11/1/07,,NONE,,,N,LEFT,No,,12/1/06,,9/25/20,,,,,,,,FALSE,,
20080213X00181,1,1,PLT,65,M,Hilo,HI,USA,CL2,WWL,10/22/07,,MINR,,,N,LEFT,Yes,,12/12/07,2/12/08,9/25/20,,,,,,,,FALSE,,
20080213X00184,1,1,FLTI,25,M,San Antonio,TX,USA,CL1,WWL,10/1/07,,NONE,,,N,RGT,UNK,,,,9/25/20,,,,,,,,FALSE,,
20080213X00184,1,2,DSTU,51,M,San Antonio,TX,USA,CL2,WWL,3/1/07,,NONE,,,N,LEFT,UNK,,,,9/25/20,,,,,,,,FALSE,,
20080213X00185,1,1,PLT,44,M,Fort Davis,TX,USA,CL2,WOWL,1/1/08,,SERS,,,N,RGT,Yes,,11/1/07,,9/25/20,,,,,,,,FALSE,,
20080213X00186,1,1,PLT,60,M,Tomball,TX,USA,CL2,WWL,4/1/06,,SERS,,,N,LEFT,No,,5/1/06,,4/6/22,broda,,,,,,,FALSE,,
20080214X00188,1,1,DSTU,57,M,Albany,GA,USA,CL3,WWL,3/1/06,,NONE,,,N,LEFT,No,,,,9/25/20,,,,,,,,FALSE,,
20080214X00192,1,1,PLT,,,,,,,,,,FATL,,,N,,,,,,9/25/20,,,,,,,,FALSE,,
20080214X00194,1,1,PLT,31,M,Wayne,MI,USA,CL1,,4/1/07,,NONE,,,N,,Yes,,,,9/25/20,,,,,,,,FALSE,,
20080214X00195,1,1,PLT,71,M,Fowler,IN,USA,SPRT,,,,NONE,,,N,,,,,,9/25/20,,,,,,,,FALSE,,
20080215X00202,1,1,PLT,51,M,Jacksonville,FL,USA,CL3,WWL,9/1/06,,NONE,,,N,RGT,Yes,,6/1/07,,9/25/20,,,,,,,,FALSE,,
20080219X00203,1,1,PLT,60,M,Lexington,KY,USA,NONE,NONE,6/1/01,,NONE,,,N,LEFT,No,,,,5/17/22,broda,,,,,,,FALSE,,
20080219X00204,1,1,PLT,25,M,Cuttypots,,UK,CL3,WOWL,4/1/04,,NONE,,,N,LEFT,No,,12/1/07,,9/25/20,,,,,,,,FALSE,,
20080219X00205,1,1,PLT,49,M,Youngsville,LA,USA,CL3,WOWL,10/1/07,,FATL,,,Y,FRT,No,,,,9/25/20,,,,,,,,FALSE,,
20080219X00209,1,1,PLT,75,M,Las Vegas,NV,USA,CL3,WWL,10/31/06,,FATL,,,N,UNK,No,,,10/31/06,9/25/20,,,,,,,,FALSE,,
20080219X00210,1,1,PLT,70,M,Camarillo,CA,USA,CL2,WWL,5/1/06,,MINR,,,N,RGT,Yes,,4/1/06,,9/25/20,,,,,,,,FALSE,,
20080219X00210,1,2,,25,M,Tarzana,CA,USA,CL3,,5/1/05,,MINR,,,N,LEFT,No,,7/1/07,,9/25/20,,,,,,,,FALSE,,
20080220X00211,1,1,FLTI,33,M,Tucson,AZ,USA,CL1,WWL,3/1/07,,NONE,,,N,,Yes,,,,9/25/20,,,,,,,,FALSE,,
20080220X00211,1,2,DSTU,25,M,Tucson,AZ,USA,CL1,WOWL,11/1/07,,NONE,,,N,LEFT,No,,,,9/25/20,,,,,,,,FALSE,,
20080220X00212,1,1,PLT,61,M,Visalia,CA,USA,CL3,WWL,1/1/06,,NONE,,,N,FRT,UNK,,10/1/07,,9/25/20,,,,,,,,FALSE,,
20080220X00213,1,1,PLT,54,M,Suisun City,CA,USA,CL3,,8/1/06,,NONE,,,N,,,,,,9/25/20,,,,,,,,FALSE,,
20080220X00214,1,1,PLT,34,M,Sardis,MS,USA,CL1,WWL,12/1/07,,SERS,,,N,LEFT,Yes,,1/1/08,,9/25/20,,,,,,,,FALSE,,
20080220X00214,1,2,CPLT,25,M,Denver,CO,USA,CL1,WOWL,1/1/08,,NONE,,,N,RGT,Yes,,9/1/07,,9/25/20,,,,,,,,FALSE,,
20080220X00215,1,1,PLT,27,M,Webster City,IA,USA,CL2,WWL,10/1/07,,FATL,,,Y,LEFT,Yes,,9/1/07,,9/25/20,grol,,,,,,,FALSE,,
20080220X00216,1,1,PLT,49,M,Wichita,KS,USA,CL3,WWL,5/1/07,,FATL,,,Y,LEFT,No,,1/1/08,,9/25/20,,,,,,,,FALSE,,
20080220X00218,1,1,PLT,37,M,McKinney,TX,USA,CL3,,8/1/06,,,,,N,,,,,,9/25/20,,,,,,,,FALSE,,
20080220X00219,1,1,PLT,,,,,,,,,,MINR,,,N,,,,,,9/25/20,,,,,,,,FALSE,,
20080220X00220,1,1,PLT,26,M,Bridgeton,MO,USA,CL2,WOWL,4/1/07,,NONE,,,N,LEFT,Yes,,1/1/08,,9/25/20,,,,,,,,FALSE,,
20080220X00221,1,1,PLT,71,M,Franktown,CO,USA,CL2,WWL,7/1/07,,NONE,,,N,REAR,Yes,,3/1/06,,9/25/20,grol,,,,,,,FALSE,,
20080221X00222,1,1,PLT,55,F,Bellevue,WA,USA,CL3,,6/1/06,,FATL,,,Y,LEFT,No,,,,9/25/20,,,,,,,,FALSE,,
20080221X00223,1,1,PLT,57,M,Grass Valley,CA,USA,CL3,,8/1/07,,FATL,,,Y,LEFT,No,,10/26/07,2/14/08,9/25/20,,,,,,,,FALSE,,
20080221X00224,1,1,PLT,47,M,Shenendoah,IA,USA,CL1,WOWL,4/1/07,,NONE,,,N,LEFT,Yes,,1/1/08,,9/25/20,,,,,,,,FALSE,,
20080222X00227,1,1,PLT,55,M,Elkhart,IN,USA,CL2,WWL,12/11/07,,FATL,,,Y,RGT,Yes,,9/11/07,2/3/08,9/25/20,,,,,,,,FALSE,,
20080222X00228,1,1,PLT,62,M,Klamath Falls,OR,USA,CL2,WWL,6/19/07,,FATL,,,Y,LEFT,No,,12/31/07,,9/25/20,,,,,,,,FALSE,,
20080222X00229,1,1,PLT,53,M,Kennett,MO,USA,CL1,WWL,12/18/07,,NONE,,,N,LEFT,Yes,,1/4/07,,9/25/20,,,,,,,,FALSE,,
20080222X00229,1,2,CPLT,23,M,Makawao,HI,USA,CL1,WOWL,2/2/07,,NONE,,,N,RGT,Yes,,7/13/07,,9/25/20,,,,,,,,FALSE,,
20080222X00229,1,3,,,,,,USA,,,,,,,,N,,,,,,9/25/20,,,,,,,,FALSE,,
20080222X00230,1,1,PLT,54,M,Valparaiso,IN,USA,CL3,,5/1/06,,MINR,,,N,LEFT,,,8/1/06,,9/25/20,,,,,,,,FALSE,,
20080222X00231,1,1,PLT,28,M,Tulsa,OK,USA,CL1,WWL,10/1/07,,NONE,,,N,LEFT,Yes,,9/1/07,,9/25/20,,,,,,,,FALSE,,
20080222X00232,1,1,PLT,54,M,Sanger,TX,USA,CL1,WOWL,9/11/07,,FATL,,,Y,LEFT,Yes,,12/23/07,9/11/07,9/25/20,,,,,,,,FALSE,,
20080225X00233,1,1,PLT,58,M,Brigham City,UT,USA,CL3,,9/1/07,,NONE,,,N,,,,,,9/25/20,,,,,,,,FALSE,,
20080225X00234,1,1,FLTI,26,M,Logan,UT,USA,CL1,WOWL,9/1/07,,NONE,,,N,RGT,Yes,,10/1/07,,9/25/20,,,,,,,,FALSE,,
20080225X00234,1,2,DSTU,61,M,Wellsville,UT,USA,CL3,WOWL,4/1/07,,NONE,,,N,LEFT,No,,5/1/06,,9/25/20,,,,,,,,FALSE,,
20080226X00235,1,1,PLT,76,M,Laughlin,NV,USA,CL2,WWL,5/1/07,,NONE,,,N,RGT,No,,,,9/25/20,,,,,,,,FALSE,,
20080226X00236,1,1,PLT,52,M,Brawley,CA,USA,CL2,,12/1/07,,NONE,,,N,RGT,Yes,,,,9/25/20,,,,,,,,FALSE,,
20080227X00237,1,1,PLT,35,M,Hawthorne,FL,USA,CL2,WWL,3/1/07,,FATL,,,N,UNK,Yes,,,,7/26/23,gibs-i,,,,,,,FALSE,,
20080227X00238,1,1,PLT,67,M,Spring Hill,FL,USA,CL2,WWL,5/23/07,,FATL,,,N,UNK,Yes,,,,8/3/23,gibs-i,,,,,,,FALSE,,
20080227X00239,1,1,PLT,81,M,Lubbock,TX,USA,CL2,WWL,1/1/08,,MINR,,,N,REAR,No,,9/1/07,,9/25/20,,,,,,,,FALSE,,
20080228X00243,1,1,PLT,47,M,Stillwater,MN,USA,CL1,WOWL,12/1/07,,NONE,,,N,LEFT,Yes,,8/1/07,,9/25/20,,,,,,,,FALSE,,
20080228X00243,1,2,CPLT,53,M,Gilbert,SC,USA,CL1,WOWL,7/1/07,,NONE,,,N,RGT,Yes,,1/1/08,,9/25/20,,,,,,,,FALSE,,
20080228X00244,1,1,PLT,28,M,Bixby,OK,USA,CL3,WOWL,11/1/06,,NONE,,,N,LEFT,UNK,,4/1/07,,9/25/20,,,,,,,,FALSE,,
20080228X00245,1,1,PLT,46,M,Flagstaff,AZ,USA,CL1,WWL,9/10/07,,NONE,,,N,LEFT,Yes,,7/30/07,3/3/08,9/25/20,,,,,,,,FALSE,,
20080228X00245,1,2,CPLT,32,M,Payson,AZ,USA,CL1,WWL,5/22/07,,NONE,,,N,RGT,Yes,,9/6/07,,9/25/20,,,,,,,,FALSE,,
20080228X00246,1,1,PLT,53,M,Scottsdale,AZ,USA,CL2,WWL,9/1/07,,NONE,,,N,LEFT,UNK,,9/1/06,,9/25/20,,,,,,,,FALSE,,
20080229X00247,1,1,PLT,32,M,Tucson,AZ,USA,CL3,NONE,10/26/07,,NONE,,,N,LEFT,No,,,,9/25/20,,,,,,,,FALSE,,
20080229X00248,1,1,PLT,41,M,Hillsboro,OR,USA,CL2,,8/1/06,,,,,N,,,,,,9/25/20,,,,,,,,FALSE,,
20080229X00249,1,1,PLT,,,,,,,,,,NONE,,,N,,,,,,9/25/20,,,,,,,,FALSE,,
20080229X00253,1,1,PLT,52,M,Independence,OH,USA,CL3,WWL,5/12/06,,SERS,,,N,LEFT,No,,1/16/08,3/11/08,9/25/20,,,,,,,,FALSE,,
20080304X00255,1,1,PLT,49,M,Alamogordo,NM,USA,NONE,,,,NONE,,,N,,,,,,9/25/20,,,,,,,,FALSE,,
20080304X00256,1,1,PLT,,,,,,,,,,FATL,,,N,,,,,,9/25/20,,,,,,,,FALSE,,
20080304X00257,1,1,PLT,34,M,Deltona,FL,USA,CL1,WOWL,9/17/07,,NONE,,,N,LEFT,Yes,,12/4/07,2/28/08,9/25/20,,,,,,,,FALSE,,
20080304X00258,1,1,DSTU,57,M,Westminster,MD,USA,CL3,WWL,10/1/07,,MINR,,,N,LEFT,No,,,,9/25/20,,,,,,,,FALSE,,
20080304X00260,1,1,PLT,31,M,Daytona,FL,USA,CL1,WWL,1/1/08,,NONE,,,N,LEFT,Yes,,8/1/07,,9/25/20,,,,,,,,FALSE,,
20080304X00260,1,2,CPLT,26,F,Kalamazoo,MI,USA,CL1,WWL,5/1/07,,NONE,,,N,REAR,Yes,,7/1/07,,9/25/20,,,,,,,,FALSE,,
20080304X00261,1,1,PLT,49,M,Dothan,AL,USA,NONE,NONE,8/1/05,,NONE,,,N,LEFT,No,,,,9/25/20,,,,,,,,FALSE,,
20080305X00263,1,1,PLT,,,,,,,,,,FATL,,,N,,,,,,9/25/20,,,,,,,,FALSE,,
20080305X00264,1,1,PLT,52,M,Ocala,FL,USA,CL3,WWL,7/1/07,,MINR,,,N,LEFT,No,,4/1/06,,9/25/20,,,,,,,,FALSE,,
20080305X00265,1,1,PLT,63,M,Sebastian,FL,USA,CL2,WOWL,1/14/02,,SERS,,,N,LEFT,No,,,,9/25/20,,,,,,,,FALSE,,
20080305X00265,2,1,PLT,71,M,Port Orange,FL,USA,NONE,WWL,2/21/06,,FATL,,,Y,REAR,Yes,,,,9/25/20,,,,,,,,FALSE,,
20080305X00266,1,1,DSTU,48,F,Eldersburg,MD,USA,CL3,,9/1/07,,,,,N,,,,,,9/25/20,,,,,,,,FALSE,,
20080305X00267,1,1,PLT,58,M,Dallas,TX,USA,CL1,WWL,2/26/08,,NONE,,,N,LEFT,Yes,,2/4/08,,9/25/20,,,,,,,,FALSE,,
20080305X00267,1,2,CPLT,48,M,Dallas,TX,USA,CL1,WOWL,7/1/07,,NONE,,,N,RGT,Yes,,9/7/07,,9/25/20,,,,,,,,FALSE,,
20080305X00268,1,1,PLT,49,M,Tampa,FL,USA,CL1,WWL,9/1/07,,NONE,,,N,LEFT,Yes,,12/1/07,,9/25/20,,,,,,,,FALSE,,
20080305X00268,1,2,CPLT,26,M,Englewood,CO,USA,CL1,WOWL,6/1/07,,NONE,,,N,RGT,Yes,,12/1/07,,9/25/20,,,,,,,,FALSE,,
20080305X00269,1,1,DSTU,46,M,Picayune,MS,USA,CL3,WOWL,10/1/07,,NONE,,,N,LEFT,No,,,,9/25/20,,,,,,,,FALSE,,
20080305X00271,1,1,PLT,35,M,Santa Margarita,CA,USA,CL3,WOWL,10/23/07,,FATL,,,Y,LEFT,No,,2/1/07,1/27/08,9/25/20,,,,,,,,FALSE,,
20080305X00272,1,1,PLT,48,M,Pacific Palisad,CA,USA,CL3,WOWL,6/25/07,,MINR,,,N,LEFT,No,,3/14/07,3/2/08,9/25/20,,,,,,,,FALSE,,
20080306X00273,1,1,PLT,51,M,Mechanicsville,MD,USA,CL2,WWL,8/1/07,,NONE,,,N,,UNK,,8/1/06,,9/25/20,,,,,,,,FALSE,,
20080306X00274,1,1,PLT,56,M,Buena Vista,CO,USA,CL3,WWL,6/1/07,,NONE,,,N,SNGL,No,,,,9/25/20,,,,,,,,FALSE,,
20080306X00275,1,1,FLTI,37,M,Centralia,WA,USA,CL2,,12/1/07,,,,,N,,,,,,9/25/20,,,,,,,,FALSE,,
20080306X00275,1,2,DSTU,24,M,Spring,TX,USA,CL2,,1/1/08,,,,,N,,,,,,9/25/20,,,,,,,,FALSE,,
20080306X00276,1,1,PLT,32,M,Highland Villag,TX,USA,CL3,,2/1/07,,NONE,,,N,,,,,,9/25/20,,,,,,,,FALSE,,
